กลุ่มยาหลัก (Major Category),กลุ่มประเภทยา (Drug Class),รหัส ATC (ATC Code),ชื่อสามัญทางยา (Generic Name),ตัวอย่างชื่อการค้าที่พบบ่อย (Common Trade Names in TH),กลไกเพิ่มความเสี่ยงหกล้ม (Mechanism of Fall Risk),แนวทางการปรับลดยา (Deprescribing Strategy / Clinical Management),ระดับคำแนะนำตามเกณฑ์สากล (AGS Beers / STOPP-Fall Recommendation)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Beta-Blockers (Non-selective),C07AA05,Propranolol,Inderal,หัวใจเต้นช้า วิงเวียน อ่อนเพลีย หลอดลมตีบ บดบังอาการน้ำตาลต่ำ,ค่อยๆ ลดขนาดยาลงช้าๆ เพื่อเลี่ยง Rebound tachycardia/ischemia ไม่หยุดยาทันที,ระวังหัวใจเต้นช้าและอ่อนเพลีย (Moderate-High)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Beta-Blockers (Selective),C07AB03,Atenolol,Tenormin,หัวใจเต้นช้า อ่อนเพลีย ขาเย็น ขับออกทางไตทำให้ยาสะสมในคนแก่,ปรับลดขนาดยาตามไต เปลี่ยนไปใช้ยากลุ่มอื่นที่ลดอัตราการตายได้ดีกว่า,ไม่แนะนำเป็นยาลดความดันตัวแรกในคนแก่ (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Beta-Blockers (Combined alpha/beta),C07AG02,Carvedilol,Dilatrend,ขยายหลอดเลือดร่วมด้วย ทำให้ความดันตกเมื่อลุกยืน เวียนศีรษะ หัวใจเต้นช้า,เริ่มจากขนาดต่ำมาก (3.125 mg) รับประทานพร้อมอาหาร ติดตามความดันโลหิตท่ายืน,เฝ้าระวังความดันตกในท่ายืน (Moderate-High)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Beta-Blockers (Selective),C07AB07,Bisoprolol,Concor,หัวใจเต้นช้า เวียนศีรษะ ความดันตก,ปรับขนาดยาตามชีพจรและความดันโลหิต,ติดตามอัตราการเต้นของหัวใจ (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Beta-Blockers (Selective),C07AB02,Metoprolol,Betaloc,หัวใจเต้นช้า อ่อนเพลีย มึนงง,ค่อยๆ ปรับลดขนาดยาช้าๆ ก่อนหยุดยา,เฝ้าระวังชีพจรช้า (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),ACE Inhibitors,C09AA02,Enalapril,"Renitec, Anapril",ความดันโลหิตตกเฉียบพลันหลังทานยา ไอเรื้อรัง โพแทสเซียมในเลือดสูง ไตวายเฉียบพลัน,หากความดันต่ำเกินไป (SBP < 110) หรือไตเสื่อมลง > 30% ให้ปรับลดขนาดยาลงครึ่งหนึ่ง,เฝ้าระวังไตเสื่อมและความดันต่ำ (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),ACE Inhibitors,C09AA05,Ramipril,Tritace,ความดันตก เวียนศีรษะ โพแทสเซียมสูง,ปรับขนาดตามเป้าหมายความดันและค่าไต,ติดตามความดันและค่าไต (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Angiotensin II Receptor Blockers (ARB),C09CA01,Losartan,"Cozaar, Lanzar",ความดันตก เวียนศีรษะ หน้ามืด โพแทสเซียมสูง,ลดขนาดลงหากความดันต่ำเกินเป้าหมายในผู้สูงอายุเปราะบาง (Frail elderly),ปรับเป้าหมายความดันให้เหมาะสมตามสภาพผู้ป่วย (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Angiotensin II Receptor Blockers (ARB),C09CA03,Valsartan,Diovan,ความดันตก เวียนศีรษะ อ่อนเพลีย,ทบทวนการใช้ร่วมกับยาขับปัสสาวะเพื่อลดความดันตก,เฝ้าระวังความดันต่ำ (Moderate Risk)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Long-acting Sulfonylureas,A10BB01,Glibenclamide,Daonil,กระตุ้นอินซูลินยาวนาน เกิดภาวะน้ำตาลในเลือดต่ำรุนแรงและยาวนาน (Severe Prolonged Hypoglycemia) สับสน หมดสติ ล้มกะโหลกศีรษะแตก,หยุดยาเด็ดขาด! เปลี่ยนเป็น Glipizide ขนาดยาต่ำ หรือยากลุ่ม DPP-4 inhibitors (เช่น Linagliptin) ที่ไม่ทำให้เกิดน้ำตาลต่ำ,หลีกเลี่ยงเด็ดขาดในผู้สูงอายุ (Strongly Avoid - Beers Criteria)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Short-acting Sulfonylureas,A10BB07,Glipizide,Minidiab,ทำให้เกิดภาวะน้ำตาลต่ำ (Hypoglycemia) โดยเฉพาะเวลาทานอาหารไม่ตรงเวลาหรือทานน้อยลง,ปรับเป้าหมาย HbA1c ในผู้สูงอายุให้ผ่อนปรน (7.5-8.0%) ลดขนาด Glipizide เหลือ 2.5-5 mg หรือหยุดยา,ใช้ขนาดต่ำและเฝ้าระวังน้ำตาลต่ำ (High Risk)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Sulfonylureas,A10BB12,Glimepiride,Amaryl,น้ำตาลในเลือดต่ำยาวนาน เสี่ยงล้ม,พิจารณาหยุดหรือเปลี่ยนเป็นกลุ่มอื่นที่มีความเสี่ยงน้ำตาลต่ำน้อยกว่า,หลีกเลี่ยงในผู้สูงอายุ (High Risk)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Sulfonylureas,A10BB09,Gliclazide,Diamicron MR,น้ำตาลต่ำ (แม้จะต่ำกว่า Glibenclamide แต่ยังมีความเสี่ยงสูง),ปรับลดขนาดยาเมื่อผู้ป่วยเริ่มทานอาหารได้น้อยลง,เฝ้าระวังน้ำตาลต่ำ (Moderate-High)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Premixed Insulins,A10AD01,Premixed Insulin 70/30,"Mixtard, Humulin 70/30",น้ำตาลในเลือดต่ำเฉียบพลันและรุนแรง มือสั่น ใจสั่น หน้ามืดเป็นลม,ปรับลดขนาดยาอินซูลินลง 10-20% เมื่อพบน้ำตาลต่ำ ผ่อนปรนเกณฑ์น้ำตาลในผู้สูงอายุเปราะบาง,ติดตามระดับน้ำตาลอย่างใกล้ชิด (High Risk for falls)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Intermediate/Long-acting Insulins,A10AC01,NPH Insulin (Isophane),Insulatard,Peak ของยาช่วงดึกทำให้เกิด Nocturnal Hypoglycemia ลุกมาล้มตอนกลางคืน,ลดขนาดอินซูลินก่อนนอน พิจารณาเปลี่ยนเป็นยากินที่ไม่เสี่ยงน้ำตาลต่ำ,ระวังน้ำตาลต่ำช่วงกลางคืน (High Risk)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Fast-acting Insulins,A10AB01,Regular Insulin (RI),Actrapid,น้ำตาลตกเร็วหลังฉีด หากทานข้าวช้าหรือไม่ครบมื้อ,กำกับให้ฉีดแล้วทานอาหารทันทีใน 15-30 นาที ลดขนาดหากทานน้อย,เฝ้าระวังช่วงเวลาออกฤทธิ์เร็ว (High Risk)
ยากลุ่มต่อมไร้ท่อและเมตาบอลิซึม (Endocrine),Biguanides,A10BA02,Metformin,Glucophage,ไม่ทำให้เกิดน้ำตาลต่ำโดยตรง แต่อาจทำให้คลื่นไส้ เบื่ออาหาร ขาดวิตามิน B12 (ทำให้ชาปลายมือปลายเท้า/Peripheral neuropathy เดินสะดุด),ตรวจวัดระดับวิตามิน B12 และปรับขนาดยาตามค่าไต eGFR,ปลอดภัยจากน้ำตาลต่ำแต่ต้องระวังขาดวิตามิน B12 และค่าไต (Low-Moderate Risk)
